Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,JEE_Score,University
17677,315.0,106.0,2.0,3.2,3.1,8.72,1,0.79,360,IIT
17678,320.0,107.0,5.0,4.5,4.4,8.33,1,0.881,312,NIT
17679,306.0,99.0,3.0,3.5,2.4,8.95,1,0.784,309,NIT
17680,314.0,118.0,3.0,2.4,3.8,9.23,1,0.865,330,IIT
17681,322.0,109.0,2.0,3.4,4.6,8.37,1,0.876,317,BITS Pilani
17682,313.0,118.0,4.0,3.9,3.5,7.8,1,0.78,312,NIT
17683,331.0,105.0,2.0,3.9,2.7,7.86,1,0.752,328,BITS Pilani
17684,299.0,110.0,4.0,3.2,2.3,8.79,1,0.812,288,Manipal
17685,329.0,113.0,5.0,2.1,3.2,8.9,1,0.866,326,IIT
17686,324.0,109.0,4.0,3.4,4.6,7.55,1,0.852,330,BITS Pilani
17687,310.0,105.0,3.0,2.7,1.9,9.01,1,0.81,337,IIT
17688,306.0,104.0,2.0,4.6,3.3,8.31,1,0.802,337,BITS Pilani
17689,293.0,105.0,2.0,4.2,3.6,8.65,1,0.836,312,NIT
17690,307.0,120.0,4.0,2.9,2.1,8.68,1,0.813,319,BITS Pilani
17691,328.0,103.0,3.0,1.6,4.4,8.57,1,0.817,341,IIT
17692,316.0,95.0,4.0,2.3,3.9,9.09,1,0.81,299,Manipal
17693,330.0,107.0,3.0,3.9,4.3,8.47,1,0.909,309,NIT
17694,309.0,107.0,4.0,1.8,4.8,7.71,1,0.801,300,SRM
17695,324.0,105.0,3.0,2.6,4.0,7.98,1,0.802,277,SRM
17696,308.0,103.0,4.0,4.7,4.7,9.57,0,0.816,328,NIT
17697,306.0,106.0,3.0,4.3,2.6,7.68,0,0.738,327,SRM
17698,315.0,99.0,1.0,2.4,3.7,8.77,1,0.811,297,Manipal
17699,309.0,118.0,4.0,4.2,3.7,7.62,1,0.81,319,NIT
17700,299.0,109.0,3.0,3.5,1.6,8.72,0,0.711,295,Symbiosis
17701,314.0,108.0,5.0,2.5,4.9,9.38,1,0.83,290,NIT
17702,318.0,114.0,3.0,1.5,3.9,8.26,0,0.704,360,BITS Pilani
17703,331.0,120.0,3.0,3.3,3.0,9.18,1,0.834,309,BITS Pilani
17704,327.0,105.0,5.0,3.6,4.2,9.03,0,0.787,294,SRM
17705,330.0,109.0,2.0,4.5,4.2,8.13,0,0.746,329,Manipal
17706,325.0,112.0,3.0,4.1,4.3,9.26,1,0.904,331,IIT
17707,320.0,111.0,4.0,2.1,3.5,8.66,1,0.8,329,BITS Pilani
17708,303.0,113.0,2.0,3.4,3.4,9.13,0,0.695,360,BITS Pilani
17709,318.0,113.0,5.0,5.0,5.0,8.45,1,0.9,294,Manipal
17710,323.0,105.0,3.0,1.1,4.0,8.74,0,0.756,317,SRM
17711,333.0,114.0,3.0,3.0,3.1,8.8,0,0.675,360,IIT
17712,324.0,107.0,5.0,3.9,3.5,8.01,0,0.724,334,Manipal
17713,330.0,109.0,3.0,3.5,3.7,9.13,1,0.829,352,IIT
17714,305.0,111.0,2.0,3.4,1.8,9.73,1,0.815,302,BITS Pilani
17715,313.0,103.0,4.0,4.1,2.2,8.87,0,0.744,345,NIT
17716,321.0,110.0,4.0,3.2,3.6,9.39,1,0.84,343,IIT
17717,330.0,111.0,2.0,3.9,5.0,8.49,0,0.792,330,Manipal
17718,315.0,96.0,2.0,3.3,3.4,7.29,0,0.686,292,Symbiosis
17719,316.0,116.0,2.0,2.6,3.1,8.11,1,0.768,316,NIT
17720,324.0,102.0,1.0,3.4,2.8,9.03,1,0.819,360,IIT
17721,304.0,109.0,5.0,3.3,5.0,8.86,0,0.743,294,Symbiosis
17722,335.0,116.0,2.0,1.4,4.3,8.18,1,0.831,302,NIT
17723,307.0,111.0,2.0,3.3,3.0,9.06,0,0.745,304,SRM
17724,295.0,114.0,4.0,4.7,2.2,8.32,1,0.8,289,SRM
17725,317.0,114.0,4.0,2.6,4.5,7.56,0,0.692,304,Symbiosis
17726,336.0,104.0,4.0,3.6,4.6,8.03,0,0.771,347,NIT
17727,323.0,101.0,3.0,2.3,3.6,8.88,0,0.693,337,NIT
17728,325.0,110.0,5.0,3.4,2.9,9.49,1,0.855,329,IIT
17729,317.0,112.0,2.0,5.0,4.2,7.64,1,0.859,306,Manipal
17730,315.0,114.0,5.0,4.9,3.9,8.98,0,0.809,337,NIT
17731,299.0,112.0,3.0,3.2,2.0,7.63,1,0.784,253,Symbiosis
17732,291.0,104.0,2.0,5.0,3.5,9.09,1,0.836,327,BITS Pilani
17733,319.0,113.0,3.0,2.4,4.3,8.06,0,0.743,286,Symbiosis
17734,331.0,94.0,4.0,2.8,3.4,9.1,1,0.808,320,BITS Pilani
17735,320.0,115.0,5.0,3.4,3.0,7.7,0,0.769,323,SRM
17736,324.0,102.0,4.0,3.9,1.8,8.62,1,0.774,315,NIT
17737,334.0,102.0,2.0,2.8,2.8,8.08,0,0.623,336,Manipal
17738,320.0,120.0,2.0,3.5,3.2,9.04,0,0.758,334,NIT
17739,315.0,108.0,2.0,3.6,3.1,8.52,0,0.755,310,SRM
17740,307.0,106.0,3.0,3.0,4.9,8.42,1,0.865,345,IIT
17741,339.0,100.0,4.0,2.4,3.0,8.14,1,0.793,344,IIT
17742,322.0,110.0,3.0,4.8,1.7,7.81,1,0.784,318,NIT
17743,306.0,112.0,1.0,4.2,3.7,9.43,1,0.867,333,IIT
17744,303.0,105.0,5.0,3.0,2.5,8.59,1,0.8,287,SRM
17745,331.0,94.0,2.0,3.4,3.5,9.16,1,0.825,360,IIT
17746,305.0,117.0,5.0,3.5,3.0,8.37,0,0.728,278,Symbiosis
17747,337.0,105.0,3.0,2.1,2.6,8.3,1,0.775,323,BITS Pilani
17748,285.0,105.0,3.0,2.7,1.1,8.5,1,0.738,285,SRM
17749,333.0,107.0,4.0,2.6,3.0,8.96,1,0.788,333,IIT
17750,322.0,102.0,4.0,5.0,4.8,7.43,1,0.82,292,SRM
17751,318.0,115.0,5.0,5.0,3.2,9.15,1,0.918,308,BITS Pilani
17752,314.0,112.0,3.0,4.5,3.4,8.98,0,0.749,351,BITS Pilani
17753,338.0,110.0,3.0,2.7,4.9,8.58,0,0.745,303,SRM
17754,324.0,120.0,2.0,4.8,4.8,9.64,1,0.919,352,IIT
17755,306.0,103.0,2.0,3.3,2.9,9.09,0,0.713,333,Manipal
17756,297.0,115.0,3.0,3.5,3.4,8.82,1,0.827,302,NIT
17757,318.0,94.0,4.0,2.6,4.0,9.15,1,0.795,339,IIT
17758,316.0,111.0,2.0,3.4,2.8,8.35,0,0.722,310,SRM
17759,299.0,120.0,4.0,3.3,3.2,7.58,0,0.701,267,Symbiosis
17760,316.0,101.0,3.0,3.7,3.6,9.27,1,0.763,291,Manipal
17761,310.0,117.0,4.0,1.5,3.0,9.02,1,0.808,332,IIT
17762,317.0,99.0,1.0,2.7,4.4,8.94,0,0.685,336,Manipal
17763,325.0,120.0,2.0,2.1,3.9,7.94,1,0.805,322,BITS Pilani
17764,333.0,104.0,4.0,3.8,4.1,8.85,0,0.71,319,Manipal
17765,327.0,103.0,4.0,4.7,4.4,8.16,1,0.915,314,NIT
17766,308.0,104.0,3.0,3.0,4.3,9.26,0,0.743,315,SRM
17767,321.0,107.0,3.0,3.3,3.9,8.16,1,0.834,272,SRM
17768,317.0,106.0,4.0,2.1,2.9,8.69,0,0.656,319,SRM
17769,301.0,107.0,3.0,3.2,4.6,9.31,1,0.859,315,BITS Pilani
17770,321.0,109.0,3.0,3.1,2.5,8.1,1,0.808,320,NIT
17771,337.0,109.0,4.0,2.8,2.7,8.94,1,0.789,360,IIT
17772,317.0,107.0,4.0,5.0,3.7,8.17,1,0.84,289,SRM
17773,298.0,105.0,4.0,2.6,4.2,8.19,1,0.778,285,SRM
17774,317.0,110.0,5.0,2.8,4.2,9.43,1,0.786,323,IIT
17775,303.0,109.0,3.0,2.6,5.0,8.77,0,0.751,313,SRM
17776,326.0,109.0,5.0,2.9,3.5,7.7,1,0.773,274,SRM
17777,322.0,107.0,5.0,2.7,4.0,7.74,1,0.762,321,NIT
17778,315.0,103.0,5.0,4.3,4.5,8.52,0,0.788,315,SRM
17779,313.0,108.0,4.0,3.9,2.6,8.21,1,0.773,251,Symbiosis
17780,314.0,106.0,4.0,2.6,3.5,9.69,1,0.808,320,IIT
17781,317.0,95.0,5.0,2.0,3.0,8.18,0,0.702,298,Symbiosis
17782,308.0,113.0,2.0,4.3,4.5,8.5,0,0.784,299,Symbiosis
17783,301.0,109.0,3.0,1.8,4.7,7.94,1,0.799,270,Symbiosis
17784,329.0,107.0,3.0,3.9,3.3,8.95,1,0.836,330,IIT
17785,312.0,110.0,5.0,3.6,4.1,8.67,0,0.712,354,BITS Pilani
17786,318.0,103.0,4.0,2.5,3.6,8.18,1,0.815,317,NIT
17787,320.0,115.0,4.0,1.5,3.6,8.7,0,0.688,271,Symbiosis
17788,320.0,115.0,4.0,4.2,3.2,9.08,1,0.887,330,IIT
17789,303.0,100.0,3.0,3.5,4.5,8.2,0,0.753,298,Symbiosis
17790,298.0,103.0,1.0,1.6,4.6,8.95,1,0.762,279,SRM
17791,310.0,111.0,3.0,2.4,4.2,7.87,1,0.769,312,NIT
17792,321.0,109.0,4.0,2.8,3.5,9.34,1,0.787,355,IIT
17793,308.0,107.0,3.0,5.0,4.1,9.1,1,0.875,305,NIT
17794,312.0,110.0,1.0,5.0,4.6,8.67,1,0.882,277,SRM
17795,340.0,96.0,3.0,3.1,4.5,7.7,1,0.845,277,Symbiosis
17796,296.0,102.0,5.0,2.3,3.8,10.0,0,0.778,295,SRM
17797,308.0,104.0,1.0,2.3,2.5,8.27,0,0.598,305,Symbiosis
17798,338.0,112.0,1.0,3.8,3.2,8.92,0,0.838,312,Manipal
17799,316.0,94.0,4.0,4.4,4.9,7.57,0,0.71,287,Symbiosis
17800,308.0,108.0,3.0,2.2,2.4,8.0,1,0.775,312,NIT
17801,330.0,105.0,4.0,3.9,4.8,8.96,0,0.833,342,NIT
17802,317.0,111.0,4.0,4.1,3.4,7.63,0,0.695,312,Symbiosis
17803,313.0,112.0,2.0,4.2,3.2,8.46,1,0.807,335,IIT
17804,319.0,118.0,4.0,3.2,1.3,7.49,1,0.757,294,Manipal
17805,309.0,100.0,1.0,2.0,3.8,8.97,0,0.668,291,Symbiosis
17806,305.0,102.0,4.0,2.8,4.2,8.25,0,0.686,288,Symbiosis
17807,315.0,107.0,4.0,3.6,2.7,9.21,1,0.803,298,NIT
17808,305.0,116.0,3.0,3.4,2.2,8.88,0,0.718,267,Symbiosis
17809,317.0,110.0,2.0,4.0,4.2,8.15,0,0.754,296,Symbiosis
17810,320.0,108.0,3.0,4.5,4.2,8.88,0,0.717,348,BITS Pilani
17811,326.0,115.0,5.0,3.8,4.4,7.63,1,0.824,338,BITS Pilani
17812,329.0,105.0,4.0,2.6,3.4,7.31,0,0.637,325,SRM
17813,312.0,114.0,2.0,4.3,4.3,7.94,1,0.868,305,Manipal
17814,322.0,118.0,3.0,3.2,3.8,9.1,1,0.867,360,IIT
17815,322.0,106.0,4.0,3.1,3.5,8.96,0,0.723,294,Symbiosis
17816,320.0,98.0,5.0,2.5,5.0,8.04,1,0.802,296,SRM
17817,311.0,108.0,1.0,2.4,2.8,8.58,1,0.763,341,IIT
17818,305.0,117.0,4.0,3.8,3.2,8.79,0,0.818,314,SRM
17819,322.0,110.0,4.0,4.4,3.7,8.39,1,0.877,305,NIT
17820,297.0,99.0,2.0,3.1,2.8,8.32,1,0.749,312,Manipal
17821,313.0,115.0,4.0,5.0,4.1,9.35,0,0.774,311,Manipal
17822,288.0,112.0,3.0,3.8,4.4,7.4,1,0.796,272,Symbiosis
17823,301.0,113.0,2.0,3.0,3.8,9.12,1,0.857,293,Manipal
17824,307.0,114.0,3.0,1.9,3.5,9.32,1,0.808,328,IIT
17825,329.0,104.0,2.0,3.8,4.4,8.46,0,0.774,331,Manipal
17826,324.0,114.0,3.0,3.9,4.1,9.6,1,0.881,360,IIT
17827,310.0,103.0,3.0,4.2,4.4,9.59,0,0.734,309,SRM
17828,325.0,100.0,3.0,3.0,3.2,8.97,1,0.782,324,BITS Pilani
17829,326.0,102.0,3.0,2.1,4.9,7.3,0,0.709,344,Manipal
17830,315.0,111.0,3.0,2.6,4.9,9.38,1,0.822,344,IIT
17831,301.0,105.0,2.0,3.2,3.6,8.42,0,0.645,307,Symbiosis
17832,314.0,116.0,1.0,3.0,2.7,8.91,0,0.738,272,Symbiosis
17833,315.0,114.0,5.0,2.6,2.7,9.25,1,0.798,299,NIT
17834,303.0,111.0,5.0,3.5,3.6,8.77,1,0.815,279,SRM
17835,321.0,116.0,4.0,4.2,2.7,9.21,1,0.8,319,IIT
17836,320.0,100.0,3.0,3.9,2.6,9.15,0,0.704,305,SRM
17837,321.0,113.0,4.0,3.4,2.8,8.89,1,0.841,360,IIT
17838,320.0,111.0,1.0,3.0,5.0,8.25,0,0.73,280,Symbiosis
17839,325.0,99.0,4.0,2.8,3.6,7.14,0,0.679,279,Symbiosis
17840,314.0,103.0,3.0,3.6,3.6,8.49,0,0.689,315,SRM
17841,319.0,106.0,2.0,3.5,4.1,8.65,1,0.866,328,BITS Pilani
17842,312.0,106.0,4.0,3.3,2.3,8.65,1,0.797,250,Symbiosis
17843,310.0,107.0,4.0,4.2,2.8,6.92,1,0.735,257,Symbiosis
17844,332.0,103.0,3.0,4.1,3.5,8.55,0,0.742,323,Manipal
17845,293.0,116.0,3.0,3.5,3.9,9.86,1,0.897,346,IIT
17846,326.0,100.0,2.0,3.0,2.6,8.84,0,0.711,360,BITS Pilani
17847,309.0,100.0,4.0,2.0,4.1,8.44,1,0.727,297,Manipal
17848,308.0,101.0,4.0,2.9,3.4,8.02,0,0.716,296,Symbiosis
17849,319.0,103.0,4.0,2.6,4.1,8.95,1,0.829,298,NIT
17850,300.0,103.0,1.0,3.2,4.3,9.67,0,0.641,335,NIT
17851,307.0,117.0,3.0,3.0,4.1,9.39,0,0.74,357,IIT
17852,307.0,103.0,2.0,2.6,5.0,6.92,1,0.816,330,Manipal
17853,314.0,106.0,4.0,3.9,3.6,7.54,1,0.802,303,Manipal
17854,307.0,100.0,3.0,1.6,3.6,8.46,1,0.734,287,SRM
17855,335.0,104.0,5.0,3.2,2.7,9.27,0,0.74,334,NIT
17856,337.0,111.0,2.0,2.7,4.5,8.97,1,0.774,360,IIT
17857,294.0,111.0,2.0,4.7,2.7,8.44,1,0.834,289,SRM
17858,323.0,113.0,2.0,3.3,3.2,8.61,1,0.864,274,SRM
17859,326.0,101.0,3.0,3.0,4.0,9.9,1,0.819,323,IIT
17860,323.0,103.0,2.0,3.0,3.5,8.28,1,0.729,313,NIT
17861,309.0,112.0,1.0,4.5,3.7,8.27,0,0.741,263,Symbiosis
17862,314.0,107.0,4.0,4.0,3.9,8.24,1,0.895,322,NIT
17863,308.0,107.0,5.0,2.3,3.6,8.16,1,0.761,315,NIT
17864,312.0,111.0,5.0,2.6,3.5,9.29,1,0.804,360,IIT
17865,303.0,113.0,3.0,2.0,4.0,9.49,1,0.806,274,Manipal
17866,315.0,103.0,2.0,3.4,4.7,8.01,1,0.852,324,NIT
17867,299.0,107.0,3.0,2.4,3.3,8.3,0,0.66,328,SRM
17868,314.0,106.0,4.0,2.6,2.6,9.5,0,0.688,338,NIT
17869,302.0,101.0,2.0,4.3,4.1,9.59,1,0.834,292,Manipal
17870,319.0,109.0,3.0,2.6,4.3,8.82,0,0.744,298,SRM
17871,309.0,104.0,5.0,2.6,3.6,8.38,0,0.697,313,SRM
17872,320.0,107.0,3.0,4.5,3.6,9.64,0,0.742,330,NIT
17873,329.0,111.0,5.0,5.0,2.3,7.98,1,0.854,307,NIT
17874,334.0,109.0,3.0,3.4,4.7,7.91,1,0.907,351,IIT
17875,288.0,102.0,3.0,3.1,2.8,8.4,1,0.769,278,Symbiosis
17876,307.0,108.0,3.0,3.2,3.4,8.74,1,0.854,262,Symbiosis
17877,313.0,108.0,1.0,3.8,2.3,9.08,1,0.796,311,BITS Pilani
17878,322.0,104.0,4.0,1.2,4.1,9.42,1,0.849,339,IIT
17879,298.0,102.0,4.0,4.0,3.5,8.61,0,0.761,308,Symbiosis
17880,305.0,108.0,2.0,3.1,3.7,8.34,0,0.66,311,SRM
17881,318.0,99.0,4.0,3.1,2.7,8.69,0,0.666,358,BITS Pilani
17882,317.0,101.0,3.0,3.4,2.7,9.65,0,0.719,293,SRM
17883,321.0,99.0,3.0,2.3,5.0,8.85,1,0.832,310,NIT
17884,321.0,100.0,5.0,4.8,3.6,8.44,0,0.752,354,NIT
17885,320.0,104.0,1.0,2.4,5.0,8.11,1,0.818,258,Symbiosis
17886,319.0,114.0,4.0,4.8,3.1,8.59,1,0.897,314,BITS Pilani
17887,317.0,111.0,4.0,4.8,2.7,8.11,0,0.726,339,Manipal
17888,324.0,114.0,3.0,4.0,3.5,8.86,1,0.86,352,IIT
17889,291.0,103.0,2.0,4.0,3.2,8.94,0,0.714,318,SRM
17890,334.0,95.0,5.0,3.5,3.3,7.76,1,0.823,329,NIT
17891,292.0,104.0,4.0,3.7,2.3,9.0,1,0.703,281,SRM
17892,304.0,114.0,2.0,2.5,5.0,9.32,1,0.856,360,IIT
17893,314.0,105.0,2.0,2.9,3.4,7.4,1,0.706,269,Symbiosis
17894,324.0,107.0,1.0,2.8,5.0,7.46,1,0.885,280,SRM
17895,283.0,106.0,3.0,3.6,2.9,8.94,1,0.809,302,Manipal
17896,316.0,111.0,5.0,2.0,4.1,8.38,1,0.811,297,Manipal
17897,325.0,112.0,1.0,3.6,3.9,8.45,1,0.838,333,IIT
17898,328.0,98.0,3.0,4.1,3.3,7.93,1,0.818,327,NIT
17899,309.0,92.0,3.0,4.0,4.3,8.76,1,0.792,359,IIT
17900,313.0,111.0,3.0,2.7,2.8,7.74,1,0.742,321,NIT
17901,310.0,106.0,4.0,2.5,3.6,9.33,1,0.783,307,NIT
17902,312.0,111.0,3.0,4.1,1.6,8.5,0,0.736,333,Manipal
17903,305.0,105.0,1.0,2.6,4.5,8.74,1,0.884,283,SRM
17904,306.0,110.0,2.0,3.1,3.0,8.63,1,0.785,335,BITS Pilani
17905,321.0,106.0,3.0,5.0,3.6,8.25,0,0.766,316,SRM
17906,318.0,103.0,3.0,3.3,3.5,8.46,1,0.725,332,BITS Pilani
17907,322.0,105.0,5.0,3.8,2.6,8.71,0,0.739,272,Symbiosis
17908,319.0,106.0,5.0,3.9,4.3,7.37,1,0.754,245,Symbiosis
17909,324.0,111.0,3.0,1.6,4.6,9.5,1,0.794,291,NIT
17910,326.0,106.0,3.0,3.7,5.0,9.19,0,0.788,360,IIT
17911,297.0,101.0,3.0,5.0,3.5,8.83,0,0.718,268,Symbiosis
17912,307.0,117.0,3.0,4.6,5.0,8.74,1,0.871,327,BITS Pilani
17913,314.0,109.0,5.0,4.2,4.5,8.43,1,0.829,292,Manipal
17914,316.0,115.0,1.0,4.4,3.2,8.44,1,0.856,311,NIT
17915,309.0,101.0,4.0,4.5,1.2,9.19,1,0.767,312,NIT
17916,327.0,106.0,4.0,2.4,4.4,8.85,0,0.726,360,BITS Pilani
17917,339.0,108.0,2.0,4.2,3.1,8.63,1,0.867,343,IIT
17918,319.0,111.0,5.0,3.5,3.9,8.25,1,0.851,325,BITS Pilani
17919,317.0,96.0,2.0,1.9,2.9,8.04,1,0.755,338,BITS Pilani
17920,326.0,96.0,1.0,3.0,2.8,8.31,1,0.79,303,Manipal
17921,295.0,103.0,3.0,3.4,4.8,8.69,1,0.807,324,NIT
17922,317.0,111.0,4.0,2.6,1.3,8.41,0,0.716,343,NIT
17923,328.0,103.0,1.0,3.0,2.5,8.34,1,0.784,348,IIT
17924,309.0,106.0,1.0,3.7,1.5,6.72,0,0.637,290,Symbiosis
17925,303.0,108.0,4.0,3.7,3.6,9.81,0,0.766,310,Manipal
17926,314.0,102.0,3.0,3.9,2.5,8.51,0,0.706,289,Symbiosis
17927,316.0,116.0,4.0,3.8,2.4,7.98,1,0.8,292,Manipal
17928,306.0,102.0,4.0,2.4,2.9,8.26,1,0.809,282,SRM
17929,340.0,95.0,1.0,1.8,3.7,8.69,1,0.819,344,IIT
17930,311.0,101.0,2.0,3.7,4.1,7.93,0,0.679,300,Symbiosis
17931,303.0,102.0,3.0,3.2,4.2,8.47,0,0.734,316,SRM
17932,315.0,108.0,2.0,3.4,4.9,9.0,1,0.812,323,BITS Pilani
17933,327.0,109.0,3.0,3.5,2.8,8.12,1,0.816,289,Manipal
17934,317.0,111.0,4.0,2.9,3.9,8.27,1,0.809,293,Manipal
17935,322.0,119.0,1.0,3.7,2.9,9.38,0,0.729,320,NIT
17936,307.0,107.0,3.0,1.9,3.1,7.91,0,0.651,281,Symbiosis
17937,333.0,112.0,2.0,5.0,3.5,8.26,1,0.859,302,NIT
17938,323.0,104.0,3.0,3.6,3.3,8.32,0,0.782,354,NIT
17939,328.0,109.0,3.0,3.3,4.4,8.04,1,0.81,278,SRM
17940,321.0,105.0,3.0,2.5,3.5,8.98,1,0.805,360,IIT
17941,326.0,106.0,3.0,3.8,4.2,9.09,0,0.738,336,NIT
17942,307.0,108.0,3.0,1.7,1.8,9.5,1,0.775,343,IIT
17943,311.0,113.0,4.0,3.2,3.4,9.35,1,0.821,346,IIT
17944,332.0,107.0,1.0,5.0,5.0,7.48,0,0.769,329,SRM
17945,334.0,107.0,3.0,2.2,2.7,7.22,0,0.611,351,Manipal
17946,304.0,109.0,2.0,3.2,4.5,7.63,1,0.884,270,Symbiosis
17947,319.0,113.0,1.0,3.0,4.3,8.41,0,0.726,309,SRM
17948,312.0,99.0,2.0,3.7,4.2,9.46,0,0.724,300,SRM
17949,309.0,109.0,4.0,3.7,4.1,8.75,0,0.757,268,Symbiosis
17950,320.0,99.0,3.0,2.9,1.0,7.0,1,0.742,288,Symbiosis
17951,329.0,115.0,4.0,2.7,3.7,9.05,1,0.859,360,IIT
17952,322.0,109.0,4.0,3.3,2.2,8.09,1,0.781,314,NIT
17953,313.0,115.0,2.0,3.4,2.9,8.63,0,0.721,360,BITS Pilani
17954,322.0,97.0,4.0,3.6,2.6,8.27,1,0.846,360,IIT
17955,312.0,106.0,2.0,3.4,3.2,8.24,0,0.662,360,BITS Pilani
17956,321.0,112.0,4.0,4.6,3.6,9.49,1,0.903,360,IIT
17957,332.0,116.0,2.0,3.1,5.0,8.96,1,0.849,360,IIT
17958,293.0,109.0,2.0,5.0,4.0,8.51,0,0.722,306,Symbiosis
17959,325.0,105.0,3.0,5.0,3.2,8.48,1,0.874,326,BITS Pilani
17960,299.0,106.0,2.0,2.7,2.9,8.3,0,0.66,310,Symbiosis
17961,330.0,101.0,4.0,4.0,4.9,8.93,1,0.889,324,BITS Pilani
17962,309.0,116.0,4.0,3.7,3.9,9.5,1,0.825,320,IIT
17963,303.0,111.0,1.0,3.9,5.0,8.5,1,0.828,327,BITS Pilani
17964,324.0,106.0,5.0,3.7,2.9,8.07,0,0.722,304,Symbiosis
17965,321.0,111.0,2.0,2.6,4.4,8.6,0,0.773,280,Symbiosis
17966,305.0,107.0,4.0,2.5,3.0,9.64,1,0.8,329,IIT
17967,302.0,105.0,3.0,3.0,3.3,8.24,1,0.738,288,SRM
17968,314.0,103.0,3.0,3.1,4.1,8.7,0,0.75,301,Symbiosis
17969,303.0,103.0,2.0,1.6,3.7,8.29,1,0.751,302,Manipal
17970,304.0,110.0,5.0,4.8,2.9,8.33,1,0.824,297,Manipal
17971,318.0,114.0,1.0,3.9,3.7,8.49,0,0.732,343,NIT
17972,306.0,105.0,4.0,5.0,3.0,8.86,1,0.825,308,NIT
17973,321.0,102.0,1.0,1.5,5.0,8.66,0,0.728,343,NIT
17974,333.0,113.0,3.0,4.3,3.7,7.75,0,0.701,324,SRM
17975,315.0,108.0,2.0,4.0,4.3,8.74,0,0.726,317,SRM
17976,318.0,94.0,4.0,2.4,3.8,9.44,1,0.833,337,IIT
17977,339.0,103.0,4.0,3.7,3.2,8.87,0,0.744,302,SRM
17978,303.0,110.0,4.0,3.5,4.0,9.78,1,0.848,322,IIT
17979,330.0,102.0,3.0,4.1,3.2,8.85,1,0.838,347,IIT
17980,329.0,108.0,3.0,2.9,2.8,7.31,1,0.768,331,BITS Pilani
17981,326.0,100.0,3.0,2.4,3.5,8.26,0,0.709,288,Symbiosis
17982,331.0,105.0,2.0,3.8,3.4,8.22,0,0.767,284,Symbiosis
17983,320.0,101.0,5.0,3.9,4.2,7.96,1,0.821,295,SRM
17984,310.0,100.0,2.0,3.0,2.0,7.71,0,0.664,337,SRM
17985,329.0,103.0,3.0,4.4,1.6,8.97,1,0.768,336,IIT
17986,329.0,112.0,3.0,3.8,4.2,9.27,0,0.789,311,Manipal
17987,329.0,110.0,3.0,5.0,2.9,9.55,0,0.734,294,SRM
17988,317.0,120.0,3.0,3.0,1.5,7.71,1,0.758,295,Manipal
17989,308.0,104.0,1.0,2.5,1.6,8.86,0,0.652,295,Symbiosis
17990,319.0,113.0,3.0,2.9,4.2,8.71,1,0.842,339,IIT
17991,327.0,118.0,2.0,2.0,3.3,7.72,0,0.681,340,NIT
17992,328.0,114.0,4.0,3.7,4.4,8.48,0,0.8,288,Symbiosis
17993,312.0,114.0,5.0,3.9,3.3,8.86,1,0.834,335,IIT
17994,320.0,108.0,5.0,2.3,2.5,7.67,1,0.78,337,BITS Pilani
17995,302.0,109.0,3.0,4.6,4.2,8.24,1,0.825,277,SRM
17996,328.0,102.0,1.0,4.0,3.8,9.64,0,0.778,330,NIT
17997,308.0,91.0,3.0,3.1,2.6,7.93,1,0.752,313,Manipal
17998,325.0,108.0,3.0,3.6,2.6,8.31,0,0.736,325,Manipal
17999,303.0,101.0,2.0,3.1,4.0,8.55,1,0.848,265,Symbiosis
18000,328.0,105.0,3.0,2.4,3.1,8.27,0,0.651,323,SRM
18001,320.0,102.0,3.0,2.9,3.1,9.52,1,0.822,333,IIT
18002,308.0,109.0,4.0,3.7,4.0,10.0,0,0.799,360,IIT
18003,324.0,106.0,3.0,3.6,3.1,7.99,0,0.742,296,Symbiosis
18004,310.0,115.0,2.0,3.9,3.4,8.88,0,0.75,299,SRM
18005,325.0,103.0,2.0,3.8,2.6,8.04,1,0.839,308,Manipal
18006,313.0,108.0,2.0,3.5,2.9,7.35,1,0.766,312,Manipal
18007,297.0,106.0,4.0,3.9,5.0,8.51,1,0.808,312,NIT
18008,305.0,105.0,2.0,5.0,3.3,8.47,1,0.803,325,BITS Pilani
18009,312.0,107.0,1.0,3.1,3.9,8.14,1,0.829,280,SRM
18010,332.0,116.0,4.0,4.5,4.0,8.41,1,0.896,340,IIT
18011,327.0,112.0,4.0,3.4,4.4,8.27,0,0.808,305,SRM
18012,335.0,104.0,5.0,3.1,3.7,8.83,1,0.853,330,IIT
18013,335.0,103.0,5.0,3.1,3.6,8.72,1,0.872,360,IIT
18014,310.0,102.0,5.0,3.4,4.3,8.41,0,0.712,274,Symbiosis
18015,314.0,108.0,4.0,1.5,2.0,8.8,1,0.711,311,NIT
18016,312.0,98.0,3.0,2.6,5.0,8.37,1,0.849,287,SRM
18017,309.0,106.0,2.0,4.9,3.2,8.15,1,0.829,316,NIT
18018,296.0,110.0,5.0,2.6,4.5,8.57,1,0.813,330,BITS Pilani
18019,316.0,103.0,4.0,4.5,2.4,8.83,1,0.805,322,BITS Pilani
18020,302.0,107.0,5.0,3.8,4.1,8.45,1,0.875,304,Manipal
18021,316.0,109.0,3.0,2.7,4.4,8.8,1,0.826,352,IIT
18022,340.0,96.0,4.0,3.0,3.8,8.62,1,0.808,346,IIT
18023,311.0,108.0,3.0,1.4,2.2,7.85,0,0.628,321,SRM
